placementId,appName,status,siteName
String,String,Boolean,String
ca-app-pub-3144836196842303/1378906677,BasketBall,TRUE,banner-002
ca-app-pub-3144836196842303/1651433879,BasketBall,TRUE,Crazy Basketball Banner 
ca-app-pub-3144836196842303/2855639874,BasketBall,TRUE,Interstitial-001
ca-app-pub-3144836196842303/3128167072,BasketBall,TRUE,Crazy Basketball Interstitial 
ca-app-pub-3144836196842303/4332373071,BasketBall,TRUE,Interstitial-003
ca-app-pub-3144836196842303/5809106272,BasketBall,TRUE,Interstitial-002
ca-app-pub-3144836196842303/7285839473,BasketBall,TRUE,Interstitial-004
ca-app-pub-3144836196842303/7425440271,BasketBall,TRUE,banner-001
ca-app-pub-3144836196842303/8762572670,BasketBall,TRUE,Interstitial-005
ca-app-pub-3144836196842303/1217456273,BasketBallShoot,TRUE,Interstitial-001
ca-app-pub-3144836196842303/2694189476,BasketBallShoot,TRUE,Interstitial-002
ca-app-pub-3144836196842303/4170922679,BasketBallShoot,TRUE,Interstitial-003
ca-app-pub-3144836196842303/5647655872,BasketBallShoot,TRUE,Interstitial-004
ca-app-pub-3144836196842303/6837472670,BasketBallShoot,TRUE,Basketball Shoote Bannner
ca-app-pub-3144836196842303/7124389078,BasketBallShoot,TRUE,Interstitial-005
ca-app-pub-3144836196842303/7263989879,BasketBallShoot,TRUE,banner-001
ca-app-pub-3144836196842303/8314205878,BasketBallShoot,TRUE,Basketball Shoote Interstitial
ca-app-pub-3144836196842303/8740723075,BasketBallShoot,TRUE,banner-002
ca-app-pub-3144836196842303/1106549877,Block Mania,TRUE,Block Mania Banner
ca-app-pub-3144836196842303/5536749474,Block Mania,TRUE,Block Mania Interstitial
ca-app-pub-3144836196842303/3569608673,BMX Boy,TRUE,BMX Boy Banner
ca-app-pub-3144836196842303/5046341879,BMX Boy,TRUE,BMX Boy Interstitial
ca-app-pub-3144836196842303/1856584672,BoomAndDoom,TRUE,Interstitial-004
ca-app-pub-3144836196842303/3333317876,BoomAndDoom,TRUE,Interstitial-005
ca-app-pub-3144836196842303/3472918675,BoomAndDoom,TRUE,banner-002
ca-app-pub-3144836196842303/4949651875,BoomAndDoom,TRUE,Interstitial-001
ca-app-pub-3144836196842303/7903118278,BoomAndDoom,TRUE,Interstitial-002
ca-app-pub-3144836196842303/9379851473,BoomAndDoom,TRUE,Interstitial-003
ca-app-pub-3144836196842303/9519452270,BoomAndDoom,TRUE,banner-001
ca-app-pub-3144836196842303/9581434677,BoomAndDoom,TRUE,Boom & Doom Interstitial
ca-app-pub-3144836196842303/1716983876,Bowling Star,TRUE,Interstitial-002
ca-app-pub-3144836196842303/2777800671,Bowling Star,TRUE,Galaxy Bowling Banner 
ca-app-pub-3144836196842303/3193717072,Bowling Star,TRUE,Interstitial-003
ca-app-pub-3144836196842303/4254533878,Bowling Star,TRUE,Galaxy Bowling Interstitial 
ca-app-pub-3144836196842303/4670450275,Bowling Star,TRUE,Interstitial-004
ca-app-pub-3144836196842303/4810051078,Bowling Star,TRUE,banner-001
ca-app-pub-3144836196842303/6286784272,Bowling Star,TRUE,banner-002
ca-app-pub-3144836196842303/7623916678,Bowling Star,TRUE,Interstitial-005
ca-app-pub-3144836196842303/9240250678,Bowling Star,TRUE,Interstitial-001
ca-app-pub-3144836196842303/1260619075,Bubble Adventure,TRUE,Interstitial-003
ca-app-pub-3144836196842303/2737352273,Bubble Adventure,TRUE,Interstitial-004
ca-app-pub-3144836196842303/4214085476,Bubble Adventure,TRUE,Interstitial-005
ca-app-pub-3144836196842303/4353686271,Bubble Adventure,TRUE,banner-001
ca-app-pub-3144836196842303/5830419475,Bubble Adventure,TRUE,banner-002
ca-app-pub-3144836196842303/7307152673,Bubble Adventure,TRUE,Interstitial-001
ca-app-pub-3144836196842303/8783885878,Bubble Adventure,TRUE,Interstitial-002
ca-app-pub-3144836196842303/6238665362,Bubble Adventure,TRUE,Admob Reward-001
ca-app-pub-3144836196842303/7917079076,Bubble Egypt,TRUE,Bubble Egypt Banner 
ca-app-pub-3144836196842303/9393812276,Bubble Egypt,TRUE,Bubble Egypt Interstitial
ca-app-pub-3144836196842303/1164117479,Bubble Shooter,TRUE,Bubble Shooter Banner
ca-app-pub-3144836196842303/2640850676,Bubble Shooter,TRUE,Bubble Shooter Interstitial
ca-app-pub-3144836196842303/4416615477,Bubble Worlds,TRUE,Bubble Worlds Banner 
ca-app-pub-3144836196842303/5893348670,Bubble Worlds,TRUE,Bubble Worlds Interstitial 
ca-app-pub-3144836196842303/5041590617,Bubble Worlds,TRUE,Bubble Worlds Reward-001
ca-app-pub-3144836196842303/7073212805,Bubble Worlds,TRUE,Bubble Worlds Reward-002
ca-app-pub-3144836196842303/1298181473,BubbleFarm,TRUE,Interstitial-003
ca-app-pub-3144836196842303/2774914675,BubbleFarm,TRUE,Interstitial-004
ca-app-pub-3144836196842303/2914515476,BubbleFarm,TRUE,banner-001
ca-app-pub-3144836196842303/3881529476,BubbleFarm,TRUE,Farm Bubble Interstitial
ca-app-pub-3144836196842303/4251647876,BubbleFarm,TRUE,Interstitial-005
ca-app-pub-3144836196842303/5867981875,BubbleFarm,TRUE,banner-002
ca-app-pub-3144836196842303/7344715070,BubbleFarm,TRUE,Interstitial-001
ca-app-pub-3144836196842303/8821448273,BubbleFarm,TRUE,Interstitial-002
ca-app-pub-3144836196842303/9928063078,BubbleFarm,TRUE,Farm Bubble Banner 
ca-app-pub-3144836196842303/1158580673,BubblePirate,TRUE,Interstitial-003
ca-app-pub-3144836196842303/2051368678,BubblePirate,TRUE,Bubble Pirate Interstitial 
ca-app-pub-3144836196842303/2635313879,BubblePirate,TRUE,Interstitial-002
ca-app-pub-3144836196842303/4112047077,BubblePirate,TRUE,Interstitial-004
ca-app-pub-3144836196842303/5588780276,BubblePirate,TRUE,Interstitial-005
ca-app-pub-3144836196842303/5728381078,BubblePirate,TRUE,banner-001
ca-app-pub-3144836196842303/7205114270,BubblePirate,TRUE,banner-002
ca-app-pub-3144836196842303/8681847477,BubblePirate,TRUE,Interstitial-001
ca-app-pub-3144836196842303/9574635472,BubblePirate,TRUE,Bubble Pirate Banner 
ca-app-pub-3144836196842303/2356112279,Bubble Shooter 2,TRUE,Interstitial-001
ca-app-pub-3144836196842303/4127270270,Bubble Shooter 2,TRUE,Bubble Shooter 2 Banner
ca-app-pub-3144836196842303/5309578679,Bubble Shooter 2,TRUE,Interstitial-003
ca-app-pub-3144836196842303/5604003474,Bubble Shooter 2,TRUE,Bubble Shooter 2 Interstitial
ca-app-pub-3144836196842303/6786311870,Bubble Shooter 2,TRUE,Interstitial-004
ca-app-pub-3144836196842303/8263045073,Bubble Shooter 2,TRUE,Interstitial-005
ca-app-pub-3144836196842303/8402645876,Bubble Shooter 2,TRUE,banner-001
ca-app-pub-3144836196842303/3832845476,Bubble Shooter 2,TRUE,Interstitial-002
ca-app-pub-3144836196842303/9879379071,Bubble Shooter 2,TRUE,banner-002
ca-app-pub-3144836196842303/1327049871,BubbleSpace,TRUE,Bubble Space Interstitial
ca-app-pub-3144836196842303/2216511476,BubbleSpace,TRUE,banner-002
ca-app-pub-3144836196842303/3693244679,BubbleSpace,TRUE,Interstitial-001
ca-app-pub-3144836196842303/5169977874,BubbleSpace,TRUE,Interstitial-002
ca-app-pub-3144836196842303/6646711076,BubbleSpace,TRUE,Interstitial-003
ca-app-pub-3144836196842303/8123444277,BubbleSpace,TRUE,Interstitial-004
ca-app-pub-3144836196842303/8850316671,BubbleSpace,TRUE,Bubble Space Bannner
ca-app-pub-3144836196842303/9600177474,BubbleSpace,TRUE,Interstitial-005
ca-app-pub-3144836196842303/9739778270,BubbleSpace,TRUE,banner-001
ca-app-pub-3144836196842303/1937309877,BubbleTotem,TRUE,Interstitial-005
ca-app-pub-3144836196842303/2076910676,BubbleTotem,TRUE,banner-001
ca-app-pub-3144836196842303/3553643877,BubbleTotem,TRUE,banner-002
ca-app-pub-3144836196842303/5004835075,BubbleTotem,TRUE,Bubble Totem Banner 
ca-app-pub-3144836196842303/5030377079,BubbleTotem,TRUE,Interstitial-001
ca-app-pub-3144836196842303/6481568278,BubbleTotem,TRUE,Bubble Totem Interstitial
ca-app-pub-3144836196842303/6507110270,BubbleTotem,TRUE,Interstitial-002
ca-app-pub-3144836196842303/7983843471,BubbleTotem,TRUE,Interstitial-003
ca-app-pub-3144836196842303/9460576675,BubbleTotem,TRUE,Interstitial-004
ca-app-pub-3144836196842303/9776093871,Cake Island Smash,TRUE,Cake Island Smash Interstitial 
ca-app-pub-3144836196842303/1518507478,CandiesLegend,TRUE,Interstitial-002
ca-app-pub-3144836196842303/2995240671,CandiesLegend,TRUE,Interstitial-003
ca-app-pub-3144836196842303/4128041873,CandiesLegend,TRUE,Candies Legend Banner 
ca-app-pub-3144836196842303/4471973879,CandiesLegend,TRUE,Interstitial-004
ca-app-pub-3144836196842303/5948707079,CandiesLegend,TRUE,Interstitial-005
ca-app-pub-3144836196842303/6088307877,CandiesLegend,TRUE,banner-001
ca-app-pub-3144836196842303/7565041073,CandiesLegend,TRUE,banner-002
ca-app-pub-3144836196842303/8697842274 ,CandiesLegend,TRUE,Candies Legend Interstitial 
ca-app-pub-3144836196842303/9041774274,CandiesLegend,TRUE,Interstitial-001
ca-app-pub-9240980261558928/2005297897,Classic Solitaire,TRUE,Interstitial-004
ca-app-pub-9240980261558928/3482031099,Classic Solitaire,TRUE,Interstitial-005
ca-app-pub-9240980261558928/3554899898,Classic Solitaire,TRUE,Interstitial-002
ca-app-pub-9240980261558928/3612166293,Classic Solitaire,TRUE,Interstitial-001
ca-app-pub-9240980261558928/6435497497,Classic Solitaire,TRUE,banner-002
ca-app-pub-9240980261558928/6817258293,Classic Solitaire,TRUE,NativeMenu-002 
ca-app-pub-9240980261558928/6867520298,Classic Solitaire,TRUE,DIYAdmob-001
ca-app-pub-9240980261558928/7912230696,Classic Solitaire,TRUE,banner-003
ca-app-pub-9240980261558928/8065051894,Classic Solitaire,TRUE,NativeMenu-001
ca-app-pub-9240980261558928/8181966698,Classic Solitaire,TRUE,banner-001
ca-app-pub-9240980261558928/9528564694,Classic Solitaire,TRUE,Interstitial-003
ca-app-pub-9240980261558928/4824602188,Classic Solitaire,TRUE,Interstitial-006
ca-app-pub-9240980261558928/9388963893,Classic Solitaire,TRUE,banner-004
ca-app-pub-9240980261558928/1959847269,Classic Solitaire,TRUE,Reward video-001
ca-app-pub-9240980261558928/1865697096,Classic Solitaire,TRUE,banner-006
ca-app-pub-9240980261558928/1118377897,Daily Challenge,TRUE,DIYAdmob-002
ca-app-pub-9240980261558928/2000344299,Daily Challenge,TRUE,Interstitial-001
ca-app-pub-9240980261558928/3477077497,Daily Challenge,TRUE,Interstitial-002
ca-app-pub-9240980261558928/3616678298,Daily Challenge,TRUE,banner-001
ca-app-pub-9240980261558928/4953810691,Daily Challenge,TRUE,Interstitial-003
ca-app-pub-9240980261558928/5688178296,Daily Challenge,TRUE,banner-002
ca-app-pub-9240980261558928/7025310696,Daily Challenge,TRUE,Interstitial-004
ca-app-pub-9240980261558928/8502043892,Daily Challenge,TRUE,Interstitial-005
ca-app-pub-9240980261558928/6407616287,Daily Challenge,TRUE,Admob-Interstitial-006
ca-app-pub-9240980261558928/3081166630,Daily Challenge,TRUE,GroupA-Banner-003
ca-app-pub-9240980261558928/5292397001,Daily Challenge,TRUE,GroupA-Banner-002
ca-app-pub-9240980261558928/5483968699,Daily Challenge,TRUE,GroupA-Banner-001
ca-app-pub-9240980261558928/6549638359,Daily Challenge,TRUE,GroupAInterstitial-006
ca-app-pub-9240980261558928/8888915133,Daily Challenge,TRUE,GroupB-Banner-003
ca-app-pub-9240980261558928/8082211878,Daily Challenge,TRUE,GroupB-Banner-002
ca-app-pub-9240980261558928/5839191911,Daily Challenge,TRUE,GroupB-Banner-001
ca-app-pub-9240980261558928/9039112463,Daily Challenge,TRUE,GroupB-Interstitial-006
ca-app-pub-3144836196842303/7577692675,Dragon Defend,TRUE,Mini Dragon Defend Banner 
ca-app-pub-3144836196842303/9054425870,Dragon Defend,TRUE,Mini Dragon Defend Interstitial
ca-app-pub-3144836196842303/3988441079,Dragon Raid,TRUE,Dragon Raid Interstitial 
ca-app-pub-3144836196842303/1359675471,DragonGem,TRUE,Dragon Gem Interstitial 
ca-app-pub-3144836196842303/2436837473,DragonGem,TRUE,Interstitial-005
ca-app-pub-3144836196842303/2576438277,DragonGem,TRUE,banner-001
ca-app-pub-3144836196842303/4053171478,DragonGem,TRUE,banner-002
ca-app-pub-3144836196842303/5529904670,DragonGem,TRUE,Interstitial-001
ca-app-pub-3144836196842303/7006637878,DragonGem,TRUE,Interstitial-002
ca-app-pub-3144836196842303/8483371075,DragonGem,TRUE,Interstitial-003
ca-app-pub-3144836196842303/8882942273,DragonGem,TRUE,Dragon Gem Banner
ca-app-pub-3144836196842303/9960104274,DragonGem,TRUE,Interstitial-004
