placementId,siteName,appName,status
String,String,String,Boolean
103589533475582_104039346763934,Interstitial-001,Solitaire Collection,TRUE
103589533475582_104039703430565,native-001,Solitaire Collection,TRUE
103589533475582_104042043430331,NativeMenu-001,Solitaire Collection,TRUE
103589533475582_305882693246264,X-Interstitial-003-New,Solitaire Collection,TRUE
103589533475582_104042886763580,NativeMenu-002,Solitaire Collection,TRUE
103589533475582_104043096763559,native-002,Solitaire Collection,TRUE
103589533475582_104051013429434,Interstitial-004,Solitaire Collection,TRUE
103589533475582_104071423427393,Native-brand-001,Solitaire Collection,TRUE
103589533475582_104072670093935,banner-002,Solitaire Collection,TRUE
103589533475582_104074893427046,DIYFacebook-001,Solitaire Collection,TRUE
103589533475582_104782386689630,banner-001,Solitaire Collection,TRUE
103589533475582_146000022567866,Navtie-Interstitial,Solitaire Collection,TRUE
103589533475582_220071245160743,Navtie-brand002,Solitaire Collection,TRUE
103589533475582_104038960097306,Native-brand-002-new,Solitaire Collection,TRUE
103589533475582_211623516005516,Video-Interstitial,Solitaire Collection,TRUE
103589533475582_237833033384564,Reward video-001,Solitaire Collection,TRUE
103589533475582_241706516330549,Native-brand-001-new,Solitaire Collection,TRUE
103589533475582_241707499663784,Native-brand-new,Solitaire Collection,TRUE
103589533475582_241708242997043,Interstitial-004-old,Solitaire Collection,TRUE
103589533475582_241722582995609,Interstitial-004-new,Solitaire Collection,TRUE
103589533475582_246071092560758,Native-brand-004-new,Solitaire Collection,TRUE
103589533475582_264571974044003,Reward video-001,Solitaire Collection,TRUE
103589533475582_302374070263793,X-Interstitial-004-new,Solitaire Collection,TRUE
103589533475582_303407386827128,X-Banner-003,Solitaire Collection,TRUE
103589533475582_304984846669382,X-Interstitial-001-New,Solitaire Collection,TRUE
103589533475582_304986133335920,X-Navtie-Brand2,Solitaire Collection,TRUE
103589533475582_304986320002568,X-Native-Brand,Solitaire Collection,TRUE
103589533475582_304987080002492,X-Interstitial-004,Solitaire Collection,TRUE
103589533475582_304987510002449,X-Interstitial-002,Solitaire Collection,TRUE
1041072319343071_1045154988934804,banner-001,FreeCell,TRUE
1041072319343071_1045159945600975,Interstitial-001,FreeCell,TRUE
1041072319343071_1045440302239606,native-001,FreeCell,TRUE
1041072319343071_1045454065571563,Interstitial-002,FreeCell,TRUE
1041072319343071_1045455485571421,banner-002,FreeCell,TRUE
1041072319343071_1045494528900850,NativeMenu-001,FreeCell,TRUE
1041072319343071_1045495468900756,native-002,FreeCell,TRUE
1041072319343071_1063128807137422,NativeMenu-002,FreeCell,TRUE
1041072319343071_1151002221683413,Interstitial-004,FreeCell,TRUE
1041072319343071_1151002625016706,DIYFacebook-001,FreeCell,TRUE
1041072319343071_1200281213422180,Navtie-Interstitial,FreeCell,TRUE
1041072319343071_1045466715570298,Interstitial-003,FreeCell,TRUE
1041072319343071_1456982474418718,Interstitial-002-New,FreeCell,TRUE
1041072319343071_1456982987752000,Native-brand-002-new,FreeCell,TRUE
1041072319343071_1456983484418617,Native-brand-new,FreeCell,TRUE
1041072319343071_1456983997751899,Interstitial-004-new,FreeCell,TRUE
1041072319343071_1456984924418473,Interstitial-001-new,FreeCell,TRUE
1563485037293508_1563485347293477,banner-001,Daily Challenge,TRUE
1563485037293508_1563485983960080,Interstitial-001,Daily Challenge,TRUE
1563485037293508_1563486320626713,native-001,Daily Challenge,TRUE
1563485037293508_1563486447293367,NativeMenu-001,Daily Challenge,TRUE
1563485037293508_1574937459481599,native-002,Daily Challenge,TRUE
1563485037293508_1574937499481595,NativeMenu-002,Daily Challenge,TRUE
1563485037293508_1605308069777871,banner-002,Daily Challenge,TRUE
1563485037293508_1605308176444527,Interstitial-004,Daily Challenge,TRUE
1563485037293508_1605308216444523,DIYFacebook-001,Daily Challenge,TRUE
