key,name,payId,type,file,order,sign,desc,discount,obtain,ad,status,timer,cVersion,gIndex,custom1
String,String,String,Number,String,Number,Number,String,Number,String,Number,Boolean,Number,String,Number,String
S1,240 Coins,com.cardgame.classic.solitaire_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
S1,800 Coins,com.cardgame.classic.solitaire_product2,1,gold_2,5,0,800 Coins,10,1|800,1,TRUE,-1,1.0.0,,
S1,1400 Coins,com.cardgame.classic.solitaire_product3,1,gold_2,6,0,1400 Coins,16,1|1400,1,TRUE,-1,1.0.0,,
S1,3000 Coins,com.cardgame.classic.solitaire_product4,1,gold_3,7,0,3000 Coins,25,1|3000,1,TRUE,-1,1.0.0,,
S1,7200 Coins,com.cardgame.classic.solitaire_product5,1,gold_4,8,0,7200 Coins,50,1|7200,1,TRUE,-1,1.0.0,,
S1,2400 Coins,com.cardgame.classic.solitaire_product6,1,gold_3,1,1,2400 Coins,100,1|2400,1,TRUE,-1,1.0.0,,
S1,36000 Coins,com.cardgame.classic.solitaire_product7,1,gold_5,2,1,36000 Coins,200,1|36000,1,TRUE,-1,1.0.0,,
S1,REMOVE_ADS,com.cardgame.classic.solitaire_product8,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
S1,480 Coins,com.cardgame.classic.solitaire_product9,9,gold_1,9,0,480 Coins,100,1|480,0,TRUE,-1,1.0.0,,
S2,240 Coins,com.solitaire.game.classic_product16,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
S2,REMOVE_ADS,com.solitaire.game.classic_product17,1,ggbigIcon,3,0,REMOVE_ADS,0,1|0,1,TRUE,-1,1.0.0,,
S2,800 Coins,com.solitaire.game.classic_product10,1,gold_2,5,0,800 Coins,10,1|800,0,TRUE,-1,1.0.0,,
S2,1400 Coins,com.solitaire.game.classic_product11,1,gold_2,6,0,1400 Coins,16,1|1400,0,TRUE,-1,1.0.0,,
S2,3000 Coins,com.solitaire.game.classic_product12,1,gold_3,7,0,3000 Coins,25,1|3000,0,TRUE,-1,1.0.0,,
S2,7200 Coins,com.solitaire.game.classic_product13,1,gold_4,8,0,7200 Coins,50,1|7200,0,TRUE,-1,1.0.0,,
S2,2400 Coins,com.solitaire.game.classic_product14,1,gold_3,1,1,2400 Coins,100,1|2400,0,TRUE,-1,1.0.0,,
S2,36000 Coins,com.solitaire.game.classic_product15,1,gold_5,2,1,36000 Coins,200,1|36000,0,TRUE,-1,1.0.0,,
S2,480 Coins,com.solitaire.game.classic_product18,1,gold_1,9,0,480 Coins,100,1|480,0,TRUE,-1,1.0.0,,
S2,REMOVE_ADS + 800 Coins,com.solitaire.game.classic_product3,1,gold_2,5,0,REMOVE_ADS + 800 Coins,10,1|800,1,TRUE,-1,100.0.0,,
S2,REMOVE_ADS + 1400 Coins,com.solitaire.game.classic_product4,1,gold_2,6,0,REMOVE_ADS + 1400 Coins,16,1|1400,1,TRUE,-1,100.0.0,,
S2,REMOVE_ADS + 3000 Coins,com.solitaire.game.classic_product5,1,gold_3,7,0,REMOVE_ADS + 3000 Coins,25,1|3000,1,TRUE,-1,100.0.0,,
S2,REMOVE_ADS + 7200 Coins,com.solitaire.game.classic_product6,1,gold_4,8,0,REMOVE_ADS + 7200 Coins,50,1|7200,1,TRUE,-1,100.0.0,,
S2,REMOVE_ADS + 2400 Coins,com.solitaire.game.classic_product7,1,gold_3,1,1,REMOVE_ADS + 2400 Coins,100,1|2400,1,TRUE,-1,100.0.0,,
S2,REMOVE_ADS + 36000 Coins,com.solitaire.game.classic_product8,1,gold_5,2,1,REMOVE_ADS + 36000 Coins,200,1|36000,1,TRUE,-1,100.0.0,,
W1,240 Coins,com.cardgames.classic.solitaire.world_product1,1,gold_1,4,0,240 Coins,0,1|240,0,TRUE,-1,1.0.0,,
W1,800 Coins,com.cardgames.classic.solitaire.world_product2,1,gold_2,5,0,800 Coins,10,1|800,1,TRUE,-1,1.0.0,,
W1,1400 Coins,com.cardgames.classic.solitaire.world_product3,1,gold_2,6,0,1400 Coins,16,1|1400,1,TRUE,-1,1.0.0,,
W1,3000 Coins,com.cardgames.classic.solitaire.world_product4,1,gold_3,7,0,3000 Coins,25,1|3000,1,TRUE,-1,1.0.0,,
W1,7200 Coins,com.cardgames.classic.solitaire.world_product5,1,gold_4,8,0,7200 Coins,50,1|7200,1,TRUE,-1,1.0.0,,
W1,2400 Coins,com.cardgames.classic.solitaire.world_product6,1,gold_3,1,1,2400 Coins,100,1|2400,1,TRUE,-1,1.0.0,,
